,origin,dest_cnt_ISO_2,dest_city_code,name_dest_city,name_dest_cnt,direct_price_dest_city,image_url_city,timestamp
0,ZAG,NL,EIND,Eindhoven,Netherlands,95.0,https://content.skyscnr.com/5a1e2c13c96cf32aef643dcebb73b3de/GettyImages-508786473.jpg,2022-08-06 17:50:00
3,ZAG,UK,LOND,London,United Kingdom,57.0,https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg,2022-08-06 17:50:00
22,ZAG,ES,MALA,Málaga,Spain,60.0,https://content.skyscnr.com/885adc49a58167bc2bfc0ec3176095d1/GettyImages-178637651.jpg,2022-08-06 17:50:00
0,ZAG,BE,BRUS,Brussels,Belgium,48.0,https://content.skyscnr.com/7f99e0b77af76bf7e89a614cba3a1d9d/GettyImages-517851449.jpg,2022-08-06 17:50:00
19,ZAG,FR,PARI,Paris,France,50.0,https://content.skyscnr.com/m/37e282443afc0ff7/original/Paris-2016-10.jpg,2022-08-06 17:50:00
1,ZAG,RS,BELI,Belgrade,Serbia,48.0,https://content.skyscnr.com/d1831c1a59e1ea608773be52b099f7b4/GettyImages-177007038.jpg,2022-08-06 17:51:00
1,ZAG,SE,MALM,Malmo,Sweden,12.0,https://content.skyscnr.com/62e6ec87196f90c906c29496e41f5f6d/GettyImages-139465515.jpg,2022-08-06 17:51:00
5,ZAG,SE,GOTH,Gothenburg,Sweden,22.0,https://content.skyscnr.com/c5156abcd5921e402b9fb95ce45c4813/GettyImages-160087670.jpg,2022-08-06 17:51:00
1,ZAG,GR,ATHE,Athens,Greece,86.0,https://content.skyscnr.com/26babb582bc1d7572fed1877d7f81fa6/GettyImages-181391203.jpg,2022-08-06 17:51:00
3,ZAG,GR,THES,Thessaloniki,Greece,13.0,https://content.skyscnr.com/c0f3616be7ab932f72a23f3507315f44/GettyImages-162545242.jpg,2022-08-06 17:51:00
18,ZAG,GR,CORF,Corfu,Greece,18.0,https://content.skyscnr.com/m/184f9cd93cc464eb/Large-GettyImages-486664034.jpg,2022-08-06 17:51:00
2,ZAG,PT,LISB,Lisbon,Portugal,89.0,https://content.skyscnr.com/e48dd065c801bef1b761c506a5a2fde9/GettyImages-467824014.jpg,2022-08-06 17:51:00
0,ZAG,BA,SARA,Sarajevo,Bosnia and Herzegovina,90.0,https://content.skyscnr.com/49e574742f759ce4dd8d0d6d48e57d40/GettyImages-480404012.jpg,2022-08-06 17:51:00
3,ZAG,DE,BADE,Baden-Baden,Germany,11.0,https://content.skyscnr.com/063edf3feb4d83c47815645f11e5c9ea/GettyImages-480156090.jpg,2022-08-06 17:51:00
4,ZAG,DE,COLO,Cologne,Germany,94.0,https://content.skyscnr.com/6a75b2e121f555167dba8bf647cd4e93/cologne.jpg,2022-08-06 17:51:00
7,ZAG,DE,FRAN,Frankfurt,Germany,18.0,https://content.skyscnr.com/e286ff180a40d9376f18c9c2b314565f/GettyImages-510973985.jpg,2022-08-06 17:51:00
13,ZAG,DE,MEMB,Memmingen,Germany,12.0,https://content.skyscnr.com/bd9a58c269dbd515bf617e222aa02e59/memmingen.jpg,2022-08-06 17:51:00
14,ZAG,DE,DUSS,Dusseldorf,Germany,11.0,https://content.skyscnr.com/79e529e0b33906841f37364d885a83ee/dusseldorf-germany.jpg,2022-08-06 17:51:00
15,ZAG,DE,DORT,Dortmund,Germany,14.0,https://content.skyscnr.com/3d1d174379607e5a48834b1a1cb70a72/GettyImages-531100581.jpg,2022-08-06 17:51:00
17,ZAG,DE,STUT,Stuttgart,Germany,70.0,https://content.skyscnr.com/m/0c5081fc40bb725f/Large-GettyImages-489946082.jpg,2022-08-06 17:51:00
1,ZAG,SK,BRAS,Bratislava,Slovakia,11.0,https://content.skyscnr.com/306b82b70a621c16a4ff68497efca061/GettyImages-530970203.jpg,2022-08-06 17:51:00
1,ZAG,CY,PAPH,Paphos,Cyprus,26.0,https://content.skyscnr.com/0a849c421a2db497fec2f8576eb37a49/GettyImages-178526577.jpg,2022-08-06 17:51:00
1,ZAG,IT,BRIN,Brindisi,Italy,15.0,https://content.skyscnr.com/f7f059e28e04b44737f527b459f8d638/GettyImages-490477064.jpg,2022-08-06 17:51:00
