,trace_id,flight,departure_date,price,timestamp
6,21,ZAG_EIN,2022-08-29,95.0,2022-08-06 22:29:00
0,22,EIN_ZAG,2022-08-29,14.0,2022-08-06 22:30:00
1,12,EIN_ZAG,2022-08-19,27.0,2022-08-06 22:30:00
2,15,EIN_ZAG,2022-08-22,20.0,2022-08-06 22:30:00
3,19,EIN_ZAG,2022-08-26,27.0,2022-08-06 22:30:00
4,1,EIN_ZAG,2022-08-08,50.0,2022-08-06 22:30:00
5,5,EIN_ZAG,2022-08-12,74.0,2022-08-06 22:30:00
6,8,EIN_ZAG,2022-08-15,37.0,2022-08-06 22:30:00
8,10,ZAG_STN,2022-08-15,90.0,2022-08-06 22:30:00
10,12,ZAG_STN,2022-08-16,98.0,2022-08-06 22:30:00
11,13,ZAG_STN,2022-08-17,57.0,2022-08-06 22:30:00
16,0,ZAG_STN,2022-08-08,76.0,2022-08-06 22:30:00
19,5,ZAG_STN,2022-08-11,95.0,2022-08-06 22:30:00
0,22,STN_ZAG,2022-08-25,29.0,2022-08-06 22:30:00
1,23,STN_ZAG,2022-08-26,55.0,2022-08-06 22:30:00
2,25,STN_ZAG,2022-08-27,55.0,2022-08-06 22:30:00
3,26,STN_ZAG,2022-08-28,19.0,2022-08-06 22:30:00
4,28,STN_ZAG,2022-08-29,43.0,2022-08-06 22:30:00
5,29,STN_ZAG,2022-08-30,19.0,2022-08-06 22:30:00
6,30,STN_ZAG,2022-08-31,24.0,2022-08-06 22:30:00
9,12,STN_ZAG,2022-08-16,58.0,2022-08-06 22:30:00
10,13,STN_ZAG,2022-08-17,43.0,2022-08-06 22:30:00
11,14,STN_ZAG,2022-08-18,59.0,2022-08-06 22:30:00
12,16,STN_ZAG,2022-08-19,90.0,2022-08-06 22:30:00
13,17,STN_ZAG,2022-08-20,92.0,2022-08-06 22:30:00
14,18,STN_ZAG,2022-08-21,59.0,2022-08-06 22:30:00
15,19,STN_ZAG,2022-08-22,29.0,2022-08-06 22:30:00
22,20,STN_ZAG,2022-08-23,24.0,2022-08-06 22:30:00
23,21,STN_ZAG,2022-08-24,18.0,2022-08-06 22:30:00
0,24,ZAG_AGP,2022-08-31,60.0,2022-08-06 22:30:00
4,3,ZAG_AGP,2022-08-10,78.0,2022-08-06 22:30:00
5,6,ZAG_AGP,2022-08-13,80.0,2022-08-06 22:30:00
6,20,ZAG_AGP,2022-08-27,70.0,2022-08-06 22:30:00
1,22,AGP_ZAG,2022-08-31,79.0,2022-08-06 22:30:00
2,15,AGP_ZAG,2022-08-24,68.0,2022-08-06 22:30:00
3,18,AGP_ZAG,2022-08-27,67.0,2022-08-06 22:30:00
3,28,ZAG_CRL,2022-08-26,91.0,2022-08-06 22:30:00
4,29,ZAG_CRL,2022-08-27,84.0,2022-08-06 22:30:00
6,32,ZAG_CRL,2022-08-29,76.0,2022-08-06 22:30:00
10,14,ZAG_CRL,2022-08-17,72.0,2022-08-06 22:30:00
11,36,ZAG_CRL,2022-08-31,79.0,2022-08-06 22:30:00
13,17,ZAG_CRL,2022-08-19,83.0,2022-08-06 22:30:00
14,18,ZAG_CRL,2022-08-20,80.0,2022-08-06 22:30:00
15,1,ZAG_CRL,2022-08-08,85.0,2022-08-06 22:30:00
17,4,ZAG_CRL,2022-08-10,53.0,2022-08-06 22:30:00
