,continent,country_name,country_code_iso2,region_name,city_name,city_code,city_image_url,airport_name,airport_code_IATA,airport_type,airport_lat,airport_lon
0,EU,Germany,DE,Berlin,Berlin,BERL,https://content.skyscnr.com/588e330bc635d38f64eb8fe3f61d2e47/stock-photo-golden-hour-skyline-berlin-113819803.jpg,Berlin Brandenburg Airport (U.C.),BER,closed,52.35138889,13.49388889
1,EU,Belgium,BE,Brussels,Brussels,BRUS,https://content.skyscnr.com/7f99e0b77af76bf7e89a614cba3a1d9d/GettyImages-517851449.jpg,Brussels South Charleroi Airport,CRL,large_airport,50.459202,4.45382
2,EU,Germany,DE,Cologne,Cologne,COLO,https://content.skyscnr.com/6a75b2e121f555167dba8bf647cd4e93/cologne.jpg,Cologne Bonn Airport,CGN,large_airport,50.86589813,7.142739773
3,EU,Germany,DE,Stuttgart,Stuttgart,STUT,https://content.skyscnr.com/m/0c5081fc40bb725f/Large-GettyImages-489946082.jpg,Stuttgart Airport,STR,large_airport,48.68989944,9.221960068
4,EU,Germany,DE,Frankfurt,Frankfurt am Main,FRAN,https://content.skyscnr.com/e286ff180a40d9376f18c9c2b314565f/GettyImages-510973985.jpg,Frankfurt-Hahn Airport,HHN,medium_airport,49.9487,7.26389
5,EU,Germany,DE,Memmingen,Memmingen,MEMB,https://content.skyscnr.com/bd9a58c269dbd515bf617e222aa02e59/memmingen.jpg,Memmingen Allgau Airport,FMM,medium_airport,47.98880005,10.23950005
6,EU,Germany,DE,Dusseldorf,Weeze,DUSS,https://content.skyscnr.com/79e529e0b33906841f37364d885a83ee/dusseldorf-germany.jpg,Weeze Airport,NRN,medium_airport,51.60240173,6.142169952
7,EU,Germany,DE,Dortmund,Dortmund,DORT,https://content.skyscnr.com/3d1d174379607e5a48834b1a1cb70a72/GettyImages-531100581.jpg,Dortmund Airport,DTM,large_airport,51.5182991,7.612239838
8,EU,Germany,DE,Baden-Baden,Baden-Baden,BADE,https://content.skyscnr.com/063edf3feb4d83c47815645f11e5c9ea/GettyImages-480156090.jpg,Karlsruhe Baden-Baden Airport,FKB,large_airport,48.77939987,8.080499649
9,EU,United Kingdom,UK,Manchester,Manchester,MANC,https://content.skyscnr.com/d05e3e7b0fbfb30e92dbd8e2839b00b0/GettyImages-465556436.jpg,Manchester Airport,MAN,large_airport,53.35369873,-2.274950027
10,EU,United Kingdom,UK,Bristol,Bristol,BRIS,https://content.skyscnr.com/93b3b0db087d3993d4f57e7fbb17e507/GettyImages-461988835.jpg,Bristol Airport,BRS,large_airport,51.382702,-2.71909
11,EU,United Kingdom,UK,London,London,LOND,https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg,London Luton Airport,LTN,large_airport,51.87469864,-0.368333012
12,EU,United Kingdom,UK,London,London,LOND,https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg,London Gatwick Airport,LGW,large_airport,51.148102,-0.190278
13,EU,United Kingdom,UK,London,London,LOND,https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg,London Heathrow Airport,LHR,large_airport,51.4706,-0.461941
14,EU,United Kingdom,UK,Nottingham,Nottingham,NOTT,https://content.skyscnr.com/08b29dbfb6c59f348c6ff686b73083aa/GettyImages-121081723.jpg,East Midlands Airport,EMA,large_airport,52.83110046,-1.328060031
15,EU,United Kingdom,UK,Edinburgh,Edinburgh,EDIN,https://content.skyscnr.com/m/6d19e536df299d24/original/edinburgh-sailsbury.jpg,Edinburgh Airport,EDI,large_airport,55.95000076,-3.372499943
16,EU,United Kingdom,UK,London,London,LOND,https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg,London Stansted Airport,STN,large_airport,51.88499832,0.234999999
17,EU,Netherlands,NL,Eindhoven,Eindhoven,EIND,https://content.skyscnr.com/5a1e2c13c96cf32aef643dcebb73b3de/GettyImages-508786473.jpg,Eindhoven Airport,EIN,large_airport,51.45009995,5.374529839
18,EU,Ireland,IE,Dublin,Dublin,DUBL,https://content.skyscnr.com/34f61dd7f8deb4059c12b0b8de9ee002/GettyImages-472229890.jpg,Dublin Airport,DUB,large_airport,53.421299,-6.27007
19,EU,Denmark,DK,Billund,Billund,BILL,,Billund Airport,BLL,large_airport,55.74029922,9.151780128
