,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,HotelPrice,IndirectQuoteDateTime,DirectPrice,DirectQuoteDateTime
0,ALIC,False,Alicante,Spain,https://content.skyscnr.com/2df165e46db19d6bcbb86e556a49a1bf/alicante.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/alicante-holidays/cia-27536538,54,/hotels/search?entity_id=27536538&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,76.0,2021-11-10T22:15:00,,
1,MADR,False,Madrid,Spain,https://content.skyscnr.com/13ce98b674f110e5466fea801ffb05bd/madrid.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/madrid-holidays/cia-27544850,0,/hotels/search?entity_id=27544850&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
2,FUER,False,Fuerteventura,Spain,https://content.skyscnr.com/b4ef80670c581d86543850f97fb2df9f/GettyImages-460870155.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/fuerteventura-holidays/cia-27541737,109,/hotels/search?entity_id=27541737&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-09T14:38:00,,
3,BARC,False,Barcelona,Spain,https://content.skyscnr.com/7adba3a46af3ca29695f96937d19fcf1/GettyImages-149127892.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/barcelona-holidays/cia-27548283,60,/hotels/search?entity_id=27548283&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,125.0,2021-11-11T16:33:00,,
4,MALA,False,MÃ¡laga,Spain,https://content.skyscnr.com/885adc49a58167bc2bfc0ec3176095d1/GettyImages-178637651.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/malaga-holidays/cia-27547484,198,/hotels/search?entity_id=27547484&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T10:23:00,,
5,SEVI,False,Seville,Spain,https://content.skyscnr.com/7b3a368cac5b45d17fc01b6122cc68b0/GettyImages-536922069.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/seville-holidays/cia-27547022,43,/hotels/search?entity_id=27547022&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-12T13:30:00,,
6,PALM,False,Palma,Spain,https://content.skyscnr.com/c643eed202678c7de51c5ed5856998e4/GettyImages-497942480.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/palma-holidays/cia-27545988,62,/hotels/search?entity_id=27545988&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,81.0,2021-11-10T12:24:00,,
7,BILB,False,Bilbao,Spain,https://content.skyscnr.com/060f28eebcfc6402d8ab9c887c295ff6/GettyImages-176437830.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/bilbao-holidays/cia-27538794,167,/hotels/search?entity_id=27538794&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-09T11:01:00,,
8,VALE,True,Valencia,Spain,https://content.skyscnr.com/m/2151532d1a93105c/original/Guide-Page-Image-Valencia.JPG,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/valencia-holidays/cia-27547405,37,/hotels/search?entity_id=27547405&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,94.0,2021-11-11T10:00:00,26.0,2021-11-10T16:03:00
9,GRAN,False,Gran Canaria,Spain,https://content.skyscnr.com/m/52c63dea83a8987c/original/24_19-1.jpg,,91,/hotels/search?entity_id=81972632&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T20:30:00,,
