,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,IndirectQuoteDateTime,HotelPrice,DirectPrice,DirectQuoteDateTime
0,BRIS,False,Bristol,United Kingdom,https://content.skyscnr.com/93b3b0db087d3993d4f57e7fbb17e507/GettyImages-461988835.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/bristol-holidays/cia-27539564,190,/hotels/search?entity_id=27539564&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T15:00:00,,,
1,EDIN,False,Edinburgh,United Kingdom,https://content.skyscnr.com/9df58c8d6e66cd62d55c804b2d7cd22e/GettyImages-506396604.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/edinburgh-holidays/cia-27540851,103,/hotels/search?entity_id=27540851&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T11:40:00,95.0,,
2,NEWC,False,Newcastle,United Kingdom,https://content.skyscnr.com/b803a8189485627a03bb3736ac7f765c/GettyImages-510958054.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/newcastle-holidays/cia-27545092,0,/hotels/search?entity_id=27545092&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
3,BIRM,False,Birmingham,United Kingdom,https://content.skyscnr.com/02167c9faf5b31748675b0f2cff5ad1e/stock-photo-gas-street-basin-the-cube-97809537.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/birmingham-holidays/cia-27538786,69,/hotels/search?entity_id=27538786&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T10:37:00,165.0,,
4,MANC,False,Manchester,United Kingdom,https://content.skyscnr.com/d05e3e7b0fbfb30e92dbd8e2839b00b0/GettyImages-465556436.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/manchester-holidays/cia-27544856,42,/hotels/search?entity_id=27544856&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T12:06:00,,,
5,GLAS,False,Glasgow,United Kingdom,https://content.skyscnr.com/769cd8c37b872118fc66395197b5c3e2/GettyImages-516440633.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/glasgow-holidays/cia-27541852,182,/hotels/search?entity_id=27541852&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T11:22:00,,,
6,LOND,True,London,United Kingdom,https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/london-holidays/cia-27544008,28,/hotels/search?entity_id=27544008&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T09:34:00,145.0,16.0,2021-11-12T09:07:00
7,LIVE,False,Liverpool,United Kingdom,https://content.skyscnr.com/4d8148466079a5be8a7417ab17bc596f/GettyImages-470715430.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/liverpool-holidays/cia-27544132,139,/hotels/search?entity_id=27544132&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T12:34:00,,,
8,LEED,False,Leeds,United Kingdom,https://content.skyscnr.com/1ff357af8efc93f3c8c1f4a886942b5e/GettyImages-515150108.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/leeds-holidays/cia-32834087,190,/hotels/search?entity_id=32834087&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T17:48:00,,,
9,NOTT,False,Nottingham,United Kingdom,https://content.skyscnr.com/08b29dbfb6c59f348c6ff686b73083aa/GettyImages-121081723.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/nottingham-holidays/cia-27548327,200,/hotels/search?entity_id=27548327&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T08:56:00,,,
10,HUMB,False,Kirmington,United Kingdom,https://content.skyscnr.com/27cca5261089a4b7fd728339076726f8/Humberside-GettyImages-640242306.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/kirmington-holidays/cia-46424749,671,/hotels/search?entity_id=46424749&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T08:08:00,,,
11,CARD,False,Cardiff,United Kingdom,https://content.skyscnr.com/3ac6ba587d62c819e80a2554c7dc3894/GettyImages-478086609.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/cardiff-holidays/cia-27540629,751,/hotels/search?entity_id=27540629&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T09:49:00,,,
