,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectPrice,DirectQuoteDateTime,HotelPrice
0,TOUS,False,Toulouse,France,https://content.skyscnr.com/65dafcf41a15bb8cc11a79001a6ff08c/eyeem-26694340-103869478.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/toulouse-holidays/cia-27547205,29,/hotels/search?entity_id=27547205&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T14:59:00,,,
1,CARC,False,Carcassonne,France,https://content.skyscnr.com/e19d1566fa79a4b8b60b501a49847f02/GettyImages-463085089.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/carcassonne-holidays/cia-27539716,0,/hotels/search?entity_id=27539716&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
2,BEXI,False,Beziers,France,https://content.skyscnr.com/4ed8fa8147ebba107bc6f63e6b9ce7d8/GettyImages-467279753.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/beziers-holidays/cia-27539672,41,/hotels/search?entity_id=27539672&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T10:57:00,,,
3,PARI,True,Paris,France,https://content.skyscnr.com/m/37e282443afc0ff7/original/Paris-2016-10.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/paris-holidays/cia-27539733,25,/hotels/search?entity_id=27539733&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T18:31:00,22.0,2021-11-12T16:02:00,
4,LARO,False,La Rochelle,France,https://content.skyscnr.com/4bfee79af949f2d6aa81aa70426550b3/GettyImages-492569539.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/la-rochelle-holidays/cia-27544143,0,/hotels/search?entity_id=27544143&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
5,BIAR,False,Biarritz,France,https://content.skyscnr.com/18bc8130729cdcd7a1d0aeab79b4c66b/GettyImages-465967373.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/biarritz-holidays/cia-27538795,0,/hotels/search?entity_id=27538795&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
6,TOUR,False,Tours,France,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/tours-holidays/cia-27547276,0,/hotels/search?entity_id=27547276&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
7,MARS,False,Marseille,France,https://content.skyscnr.com/m/55550e4064300ca1/Large-eyeem-26694340-128693747.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/marseille-holidays/cia-32030366,33,/hotels/search?entity_id=32030366&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T22:11:00,,,86.0
8,NANT,False,Nantes,France,https://content.skyscnr.com/a6a06dfb626e88cb883e75e6adef6a82/GettyImages-468108414.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/nantes-holidays/cia-27545159,28,/hotels/search?entity_id=27545159&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T22:34:00,,,
9,BORD,True,Bordeaux,France,https://content.skyscnr.com/005082c7873ca4adbaefb1591707f478/GettyImages-468330194.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/bordeaux-holidays/cia-27539513,28,/hotels/search?entity_id=27539513&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T13:36:00,16.0,2021-11-11T11:51:00,
10,LOUR,False,Lourdes,France,https://content.skyscnr.com/c49d48ddea20005a810a7f857e32ece4/GettyImages-152055513.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/lourdes-holidays/cia-32026029,40,/hotels/search?entity_id=32026029&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T11:45:00,,,
11,PERP,False,Perpignan,France,https://content.skyscnr.com/719f78547635dce1579052a259f0ad87/GettyImages-507685595.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/perpignan-holidays/cia-32032387,374,/hotels/search?entity_id=32032387&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T14:02:00,,,
12,NICE,False,Nice,France,https://content.skyscnr.com/m/2bdff4db01b0769f/original/GettyImages-467077004.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/nice-holidays/cia-27545091,61,/hotels/search?entity_id=27545091&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T09:46:00,,,
13,NIME,False,Nimes,France,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/nimes-holidays/cia-27541686,71,/hotels/search?entity_id=27541686&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T09:14:00,,,
14,LILL,False,Lille,France,https://content.skyscnr.com/8c9f4b43f6d11ee747a9ebb19589f246/GettyImages-177530843.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/lille-holidays/cia-27544066,95,/hotels/search?entity_id=27544066&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T09:18:00,,,
15,LYON,False,Lyon,France,https://content.skyscnr.com/27326e6ca8b8ed01ebf7ed992dda6089/GettyImages-181391682.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/lyon-holidays/cia-27544221,101,/hotels/search?entity_id=27544221&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T13:22:00,,,97.0
16,MONT,False,Montpellier,France,https://content.skyscnr.com/988a463f5a2a068e21ce3f9d8050264d/GettyImages-177095218.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/montpellier-holidays/cia-32030308,134,/hotels/search?entity_id=32030308&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T14:16:00,,,
17,STRA,False,Strasbourg,France,https://content.skyscnr.com/b619123e0cbe0a7740d81e8416984dd6/GettyImages-178610880.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/strasbourg-holidays/cia-27547052,148,/hotels/search?entity_id=27547052&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T11:20:00,,,
18,RENN,False,Rennes,France,https://content.skyscnr.com/25b7e852958850d3f07b70c904e23cb7/GettyImages-166748171.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/rennes-holidays/cia-27546197,303,/hotels/search?entity_id=27546197&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T22:40:00,,,
19,TOUL,False,Toulon,France,https://content.skyscnr.com/fff2b913f5bf8629fe16907e8985fa93/GettyImages-506398503.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/toulon-holidays/cia-32046202,307,/hotels/search?entity_id=32046202&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-08T17:58:00,,,
20,BRES,False,Brest,France,https://content.skyscnr.com/2dabfc334014fc7d05bb4ad1660c5e1a/GettyImages-531440393.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/brest-holidays/cia-27538729,315,/hotels/search?entity_id=27538729&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T14:38:00,,,
21,BERG,False,Bergerac,France,https://content.skyscnr.com/a7c7028bae974071d30f03f3022edaaa/GettyImages-515908505.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/bergerac-holidays/cia-27540873,318,/hotels/search?entity_id=27540873&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T13:36:00,,,
22,CASU,False,Castres Mazamet,France,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/castres-mazamet-holidays/cia-27540695,319,/hotels/search?entity_id=27540695&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T07:52:00,,,
