,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectPrice,DirectQuoteDateTime
0,RABA,False,Rabat,Morocco,https://content.skyscnr.com/6d10c1e96a107d179cab64377ec2435f/GettyImages-469219906.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/morocco/rabat-holidays/cia-27546128,58,/hotels/search?entity_id=27546128&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T07:05:00,,
1,AGAD,False,Agadir,Morocco,https://content.skyscnr.com/46e741936ce121783af405dd8a6b601c/GettyImages-520507803.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/morocco/agadir-holidays/cia-27536479,26,/hotels/search?entity_id=27536479&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T22:10:00,,
2,TETU,False,Tetuan S. Ramel,Morocco,https://content.skyscnr.com/b9589377c78e2e513b33fa6ae0472af8/Tetuan%20S.%20Ramel-GettyImages-514559425.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/morocco/tetuan-s.-ramel-holidays/cia-27547272,0,/hotels/search?entity_id=27547272&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
3,FEZS,True,Fes,Morocco,https://content.skyscnr.com/4b19700352746a7fb855fe958141736f/GettyImages-484651575.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/morocco/fes-holidays/cia-27541643,23,/hotels/search?entity_id=27541643&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T17:08:00,11.0,2021-11-10T12:19:00
4,NADO,False,Nador,Morocco,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/morocco/nador-holidays/cia-27545100,0,/hotels/search?entity_id=27545100&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
5,ESSA,False,Essaouira,Morocco,https://content.skyscnr.com/6b88e5f167d63f4b309457f46d82895c/GettyImages-173259798.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/morocco/essaouira-holidays/cia-27540985,0,/hotels/search?entity_id=27540985&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
6,TANG,False,Tangier,Morocco,https://content.skyscnr.com/0ba2fba9393a4207b20e607be32a7c46/GettyImages-508375894.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/morocco/tangier-holidays/cia-27547220,46,/hotels/search?entity_id=27547220&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T14:01:00,,
7,MARR,True,Marrakech,Morocco,https://content.skyscnr.com/bae843c92aa2a7255d3b044d8f50465a/GettyImages-183941001.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/morocco/marrakech-holidays/cia-27546125,23,/hotels/search?entity_id=27546125&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T10:45:00,18.0,2021-11-12T09:07:00
8,CASA,False,Casablanca,Morocco,https://content.skyscnr.com/cdb4c2556aaa2364d88f402833607574/hassan-ii-mosque-8.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/morocco/casablanca-holidays/cia-27539689,140,/hotels/search?entity_id=27539689&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T10:17:00,,
9,DAKH,False,Dakhla,,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/western-sahara/dakhla-holidays/cia-27547397,516,/hotels/search?entity_id=27547397&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T00:25:00,,
