,Id,Direct,Name,CountryName,HolidayUrl,DirectPrice,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectQuoteDateTime,ImageUrl
0,WMIP,True,Nowy Dwor Mazowiecki,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/nowy-dwor-mazowiecki-holidays/cia-38835020,26.0,23,/hotels/search?entity_id=38835020&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T23:22:00,2021-11-12T13:01:00,
1,SZYA,False,Szczytno,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/szczytno-holidays/cia-27547116,,0,/hotels/search?entity_id=27547116&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
2,POZN,True,Poznan,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/poznan-holidays/cia-27546015,16.0,22,/hotels/search?entity_id=27546015&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T12:23:00,2021-11-12T16:05:00,https://content.skyscnr.com/25d8e7ad6875d8b3332461fb2ed6ecf9/GettyImages-122449338.jpg
3,KRAK,True,Krakow,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/krakow-holidays/cia-27543787,23.0,22,/hotels/search?entity_id=27543787&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T09:06:00,2021-11-10T10:00:00,https://content.skyscnr.com/f7f6af4f80f12335dd8b34745ce453a4/krakow.jpg
4,RZES,False,Rzeszow,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/rzeszow-holidays/cia-27546237,,47,/hotels/search?entity_id=27546237&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T15:58:00,,
5,BYDG,False,Bydgoszcz,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/bydgoszcz-holidays/cia-27539667,,0,/hotels/search?entity_id=27539667&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,https://content.skyscnr.com/3fe57e149051c19d64468419c24b7e69/GettyImages-178758607.jpg
6,WROC,False,Wroclaw,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/wroclaw-holidays/cia-27536248,,26,/hotels/search?entity_id=27536248&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T09:54:00,,https://content.skyscnr.com/7387d4b223075dd116e68295d7ae2f19/GettyImages-470289252.jpg
7,GADA,False,Gdansk,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/gdansk-holidays/cia-27541787,,26,/hotels/search?entity_id=27541787&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T04:50:00,,https://content.skyscnr.com/d1a92e9f1873e310438eff1d7af8fe8e/GettyImages-484214866.jpg
8,SZCZ,False,Szczecin,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/szczecin-holidays/cia-27547117,,35,/hotels/search?entity_id=27547117&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T15:09:00,,https://content.skyscnr.com/363001a95f323b1039c625e535b62290/GettyImages-472074854.jpg
9,KATO,False,Katowice,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/katowice-holidays/cia-27543914,,26,/hotels/search?entity_id=27543914&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T10:59:00,,https://content.skyscnr.com/717354cff20de80c11a1c36aa9322b17/GettyImages-177509489.jpg
10,WARS,False,Warsaw,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/warsaw-holidays/cia-27547454,,42,/hotels/search?entity_id=27547454&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T13:27:00,,https://content.skyscnr.com/bb03981ea6c8a91de7d8bcd29e440df6/GettyImages-474677895.jpg
