,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,DirectPrice,HotelPrice,IndirectQuoteDateTime,DirectQuoteDateTime
0,NEWQ,False,Newquay,United Kingdom,https://content.skyscnr.com/512c3b4a0d533d92ee8f2aca0f2e2872/GettyImages-472989352.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/newquay-holidays/cia-27545149,0.0,/hotels/search?entity_id=27545149&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
1,LOND,True,London,United Kingdom,https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/london-holidays/cia-27544008,23.0,/hotels/search?entity_id=27544008&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,11.0,145.0,2021-11-12T13:57:00,2021-11-12T09:33:00
2,NEWC,False,Newcastle,United Kingdom,https://content.skyscnr.com/b803a8189485627a03bb3736ac7f765c/GettyImages-510958054.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/newcastle-holidays/cia-27545092,63.0,/hotels/search?entity_id=27545092&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-10T08:03:00,
3,LEED,False,Leeds,United Kingdom,https://content.skyscnr.com/1ff357af8efc93f3c8c1f4a886942b5e/GettyImages-515150108.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/leeds-holidays/cia-32834087,57.0,/hotels/search?entity_id=32834087&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-09T13:28:00,
4,EDIN,True,Edinburgh,United Kingdom,https://content.skyscnr.com/9df58c8d6e66cd62d55c804b2d7cd22e/GettyImages-506396604.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/edinburgh-holidays/cia-27540851,24.0,/hotels/search?entity_id=27540851&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,21.0,95.0,2021-11-10T11:18:00,2021-11-10T19:35:00
5,LIVE,False,Liverpool,United Kingdom,https://content.skyscnr.com/4d8148466079a5be8a7417ab17bc596f/GettyImages-470715430.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/liverpool-holidays/cia-27544132,31.0,/hotels/search?entity_id=27544132&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-10T16:53:00,
6,MANC,True,Manchester,United Kingdom,https://content.skyscnr.com/d05e3e7b0fbfb30e92dbd8e2839b00b0/GettyImages-465556436.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/manchester-holidays/cia-27544856,23.0,/hotels/search?entity_id=27544856&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,11.0,,2021-11-10T09:57:00,2021-11-10T20:03:00
7,BIRM,False,Birmingham,United Kingdom,https://content.skyscnr.com/02167c9faf5b31748675b0f2cff5ad1e/stock-photo-gas-street-basin-the-cube-97809537.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/birmingham-holidays/cia-27538786,39.0,/hotels/search?entity_id=27538786&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,165.0,2021-11-08T18:53:00,
8,NOTT,False,Nottingham,United Kingdom,https://content.skyscnr.com/08b29dbfb6c59f348c6ff686b73083aa/GettyImages-121081723.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/nottingham-holidays/cia-27548327,42.0,/hotels/search?entity_id=27548327&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-10T09:57:00,
9,BOUR,False,Bournemouth,United Kingdom,https://content.skyscnr.com/4561c7e0759f5d8c6761a39877f5e4c2/GettyImages-527690869.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/bournemouth-holidays/cia-27539516,0.0,/hotels/search?entity_id=27539516&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
10,BRIS,True,Bristol,United Kingdom,https://content.skyscnr.com/93b3b0db087d3993d4f57e7fbb17e507/GettyImages-461988835.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/bristol-holidays/cia-27539564,,/hotels/search?entity_id=27539564&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,21.0,,,2021-11-12T09:23:00
11,GLAS,False,Glasgow,United Kingdom,https://content.skyscnr.com/769cd8c37b872118fc66395197b5c3e2/GettyImages-516440633.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/glasgow-holidays/cia-27541852,43.0,/hotels/search?entity_id=27541852&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-09T08:27:00,
12,DONC,False,Doncaster,United Kingdom,https://content.skyscnr.com/7a6b3f9cb7375f43dae7c8ebc4a316c3/GettyImages-93109663.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/doncaster-holidays/cia-32847050,83.0,/hotels/search?entity_id=32847050&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-10T12:34:00,
13,JERS,False,Jersey,,,,138.0,/hotels/search?entity_id=29475153&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-09T07:57:00,
14,CAST,False,Castletown,,https://content.skyscnr.com/90915cce2a9a27fb53373b08e24423d8/GettyImages-483694117.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/isle-of-man/castletown-holidays/cia-46535996,144.0,/hotels/search?entity_id=46535996&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-09T16:44:00,
15,MMEA,False,Durham,United Kingdom,https://content.skyscnr.com/24cac5e0c48dadd765a8397197514cc5/GettyImages-139680538.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/durham-holidays/cia-32833958,244.0,/hotels/search?entity_id=32833958&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-09T13:05:00,
16,SOUT,False,Southampton,United Kingdom,https://content.skyscnr.com/84734c7348f514caf9450fcb3592dfbc/GettyImages-515701085.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/southampton-holidays/cia-27547060,290.0,/hotels/search?entity_id=27547060&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-10T10:25:00,
17,NORW,False,Norwich,United Kingdom,https://content.skyscnr.com/f8e82712d0035f61f9a982c84f3c8edf/GettyImages-518859051.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/norwich-holidays/cia-27545172,520.0,/hotels/search?entity_id=27545172&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-11T22:12:00,
18,HUMB,False,Kirmington,United Kingdom,https://content.skyscnr.com/27cca5261089a4b7fd728339076726f8/Humberside-GettyImages-640242306.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/kirmington-holidays/cia-46424749,632.0,/hotels/search?entity_id=46424749&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-12T16:45:00,
