,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,IndirectQuoteDateTime,HotelPrice,DirectPrice,DirectQuoteDateTime
0,BORD,False,Bordeaux,France,https://content.skyscnr.com/005082c7873ca4adbaefb1591707f478/GettyImages-468330194.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/bordeaux-holidays/cia-27539513,58,/hotels/search?entity_id=27539513&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T12:56:00,,,
1,STRA,False,Strasbourg,France,https://content.skyscnr.com/b619123e0cbe0a7740d81e8416984dd6/GettyImages-178610880.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/strasbourg-holidays/cia-27547052,188,/hotels/search?entity_id=27547052&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T13:36:00,,,
2,RODE,False,Rodez,France,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/rodez-holidays/cia-27546145,0,/hotels/search?entity_id=27546145&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
3,MONT,False,Montpellier,France,https://content.skyscnr.com/988a463f5a2a068e21ce3f9d8050264d/GettyImages-177095218.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/montpellier-holidays/cia-32030308,272,/hotels/search?entity_id=32030308&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T12:50:00,,,
4,BRES,False,Brest,France,https://content.skyscnr.com/2dabfc334014fc7d05bb4ad1660c5e1a/GettyImages-531440393.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/brest-holidays/cia-27538729,349,/hotels/search?entity_id=27538729&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T13:48:00,,,
5,NANT,False,Nantes,France,https://content.skyscnr.com/a6a06dfb626e88cb883e75e6adef6a82/GettyImages-468108414.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/nantes-holidays/cia-27545159,33,/hotels/search?entity_id=27545159&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T19:52:00,,,
6,NICE,False,Nice,France,https://content.skyscnr.com/m/2bdff4db01b0769f/original/GettyImages-467077004.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/nice-holidays/cia-27545091,0,/hotels/search?entity_id=27545091&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
7,LYON,False,Lyon,France,https://content.skyscnr.com/27326e6ca8b8ed01ebf7ed992dda6089/GettyImages-181391682.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/lyon-holidays/cia-27544221,127,/hotels/search?entity_id=27544221&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T06:07:00,97.0,,
8,CLER,False,Clermont-Ferrand,France,https://content.skyscnr.com/12cddb7f90a76c35fad60cb75e84fd83/GettyImages-619402200.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/clermont-ferrand-holidays/cia-32036380,0,/hotels/search?entity_id=32036380&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
9,PARI,True,Paris,France,https://content.skyscnr.com/m/37e282443afc0ff7/original/Paris-2016-10.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/paris-holidays/cia-27539733,31,/hotels/search?entity_id=27539733&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T11:33:00,,22.0,2021-11-12T16:05:00
