,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectPrice,HotelPrice,DirectQuoteDateTime
0,BELF,False,Belfast,United Kingdom,https://content.skyscnr.com/ee377cc8c07596dca36a3cc28f74235f/GettyImages-116149884.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/belfast-holidays/cia-27538744,101.0,/hotels/search?entity_id=27538744&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T17:04:00,,,
1,INVE,False,Inverness,United Kingdom,https://content.skyscnr.com/m/027b24d869ceca1f/original/GettyImages-100334437_doc.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/inverness-holidays/cia-27542869,136.0,/hotels/search?entity_id=27542869&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T21:18:00,,,
2,MMEA,False,Durham,United Kingdom,https://content.skyscnr.com/24cac5e0c48dadd765a8397197514cc5/GettyImages-139680538.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/durham-holidays/cia-32833958,0.0,/hotels/search?entity_id=32833958&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
3,GLAS,False,Glasgow,United Kingdom,https://content.skyscnr.com/769cd8c37b872118fc66395197b5c3e2/GettyImages-516440633.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/glasgow-holidays/cia-27541852,61.0,/hotels/search?entity_id=27541852&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T22:21:00,,,
4,ABER,False,Aberdeen,United Kingdom,https://content.skyscnr.com/3f4498322baca0397df716f33159a551/GettyImages-478376654.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/aberdeen-holidays/cia-27536433,327.0,/hotels/search?entity_id=27536433&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T11:34:00,,,
5,CARD,False,Cardiff,United Kingdom,https://content.skyscnr.com/3ac6ba587d62c819e80a2554c7dc3894/GettyImages-478086609.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/cardiff-holidays/cia-27540629,279.0,/hotels/search?entity_id=27540629&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T13:47:00,,,
6,SOUT,False,Southampton,United Kingdom,https://content.skyscnr.com/84734c7348f514caf9450fcb3592dfbc/GettyImages-515701085.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/southampton-holidays/cia-27547060,0.0,/hotels/search?entity_id=27547060&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
7,HUMB,False,Kirmington,United Kingdom,https://content.skyscnr.com/27cca5261089a4b7fd728339076726f8/Humberside-GettyImages-640242306.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/kirmington-holidays/cia-46424749,0.0,/hotels/search?entity_id=46424749&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
8,LOND,True,London,United Kingdom,https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/london-holidays/cia-27544008,23.0,/hotels/search?entity_id=27544008&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T14:42:00,11.0,145.0,2021-11-08T21:57:00
9,NEWC,False,Newcastle,United Kingdom,https://content.skyscnr.com/b803a8189485627a03bb3736ac7f765c/GettyImages-510958054.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/newcastle-holidays/cia-27545092,147.0,/hotels/search?entity_id=27545092&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T16:08:00,,,
10,LEED,False,Leeds,United Kingdom,https://content.skyscnr.com/1ff357af8efc93f3c8c1f4a886942b5e/GettyImages-515150108.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/leeds-holidays/cia-32834087,118.0,/hotels/search?entity_id=32834087&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T10:32:00,,,
11,EDIN,False,Edinburgh,United Kingdom,https://content.skyscnr.com/9df58c8d6e66cd62d55c804b2d7cd22e/GettyImages-506396604.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/edinburgh-holidays/cia-27540851,34.0,/hotels/search?entity_id=27540851&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T13:42:00,,95.0,
12,BIRM,False,Birmingham,United Kingdom,https://content.skyscnr.com/02167c9faf5b31748675b0f2cff5ad1e/stock-photo-gas-street-basin-the-cube-97809537.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/birmingham-holidays/cia-27538786,0.0,/hotels/search?entity_id=27538786&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,165.0,
13,MANC,False,Manchester,United Kingdom,https://content.skyscnr.com/d05e3e7b0fbfb30e92dbd8e2839b00b0/GettyImages-465556436.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/manchester-holidays/cia-27544856,26.0,/hotels/search?entity_id=27544856&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T12:24:00,,,
14,BRIS,False,Bristol,United Kingdom,https://content.skyscnr.com/93b3b0db087d3993d4f57e7fbb17e507/GettyImages-461988835.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/bristol-holidays/cia-27539564,51.0,/hotels/search?entity_id=27539564&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T16:10:00,,,
