,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectPrice,HotelPrice,DirectQuoteDateTime
0,BILB,False,Bilbao,Spain,https://content.skyscnr.com/060f28eebcfc6402d8ab9c887c295ff6/GettyImages-176437830.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/bilbao-holidays/cia-27538794,201.0,/hotels/search?entity_id=27538794&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T19:42:00,,,
1,BARC,False,Barcelona,Spain,https://content.skyscnr.com/7adba3a46af3ca29695f96937d19fcf1/GettyImages-149127892.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/barcelona-holidays/cia-27548283,86.0,/hotels/search?entity_id=27548283&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T11:10:00,,,
2,MALA,False,Málaga,Spain,https://content.skyscnr.com/885adc49a58167bc2bfc0ec3176095d1/GettyImages-178637651.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/malaga-holidays/cia-27547484,0.0,/hotels/search?entity_id=27547484&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
3,VALE,True,Valencia,Spain,https://content.skyscnr.com/m/2151532d1a93105c/original/Guide-Page-Image-Valencia.JPG,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/valencia-holidays/cia-27547405,50.0,/hotels/search?entity_id=27547405&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T16:24:00,26.0,94.0,2021-11-13T04:22:00
4,GRAN,False,Gran Canaria,Spain,https://content.skyscnr.com/m/52c63dea83a8987c/original/24_19-1.jpg,,135.0,/hotels/search?entity_id=81972632&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T11:34:00,,,
5,ARRE,False,Lanzarote,Spain,https://content.skyscnr.com/8f05010aa03fd05aa210ab04d5edc14d/GettyImages-453466115.jpg,,40.0,/hotels/search?entity_id=81972637&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T14:17:00,,,
6,PALM,False,Palma,Spain,https://content.skyscnr.com/c643eed202678c7de51c5ed5856998e4/GettyImages-497942480.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/palma-holidays/cia-27545988,123.0,/hotels/search?entity_id=27545988&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T18:22:00,,87.0,
7,FUER,False,Fuerteventura,Spain,https://content.skyscnr.com/b4ef80670c581d86543850f97fb2df9f/GettyImages-460870155.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/fuerteventura-holidays/cia-27541737,93.0,/hotels/search?entity_id=27541737&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T23:53:00,,,
8,TENE,False,Tenerife,Spain,https://content.skyscnr.com/m/5954933ffe79635b/original/eyeem-28451928-143557105.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/tenerife-holidays/cia-27547165,0.0,/hotels/search?entity_id=27547165&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,72.0,
9,ALIC,False,Alicante,Spain,https://content.skyscnr.com/2df165e46db19d6bcbb86e556a49a1bf/alicante.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/alicante-holidays/cia-27536538,80.0,/hotels/search?entity_id=27536538&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T14:25:00,,,
