,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,DirectPrice,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectQuoteDateTime,HotelPrice
0,SEVI,True,Seville,Spain,https://content.skyscnr.com/7b3a368cac5b45d17fc01b6122cc68b0/GettyImages-536922069.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/seville-holidays/cia-27547022,34.0,30,/hotels/search?entity_id=27547022&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T19:03:00,2021-11-13T05:48:00,
1,PALM,True,Palma,Spain,https://content.skyscnr.com/c643eed202678c7de51c5ed5856998e4/GettyImages-497942480.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/palma-holidays/cia-27545988,40.0,40,/hotels/search?entity_id=27545988&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T16:22:00,2021-11-11T21:37:00,87.0
2,MENO,False,Menorca,Spain,https://content.skyscnr.com/cc3d610f7586a1f3da7df041da3e0f31/menorca.jpg,,,0,/hotels/search?entity_id=81972646&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
3,SANC,False,Santiago de Compostela,Spain,https://content.skyscnr.com/e19aa81083a29803e0f619554eead53b/eyeem-26693940-124275584.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/santiago-de-compostela-holidays/cia-27546279,,64,/hotels/search?entity_id=27546279&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T23:27:00,,
4,ALIC,True,Alicante,Spain,https://content.skyscnr.com/2df165e46db19d6bcbb86e556a49a1bf/alicante.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/alicante-holidays/cia-27536538,18.0,24,/hotels/search?entity_id=27536538&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T13:33:00,2021-11-10T09:50:00,
5,BARC,False,Barcelona,Spain,https://content.skyscnr.com/7adba3a46af3ca29695f96937d19fcf1/GettyImages-149127892.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/barcelona-holidays/cia-27548283,,34,/hotels/search?entity_id=27548283&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T08:39:00,,
6,RMUA,False,Corvera,Spain,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/corvera-holidays/cia-30020729,,0,/hotels/search?entity_id=30020729&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
7,FUER,False,Fuerteventura,Spain,https://content.skyscnr.com/b4ef80670c581d86543850f97fb2df9f/GettyImages-460870155.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/fuerteventura-holidays/cia-27541737,,44,/hotels/search?entity_id=27541737&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T12:25:00,,
8,GRAN,True,Gran Canaria,Spain,https://content.skyscnr.com/m/52c63dea83a8987c/original/24_19-1.jpg,,107.0,48,/hotels/search?entity_id=81972632&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T22:01:00,2021-11-11T11:03:00,
9,ZARA,False,Zaragoza,Spain,https://content.skyscnr.com/06189bcba4b14787566375887dbd7291/GettyImages-463461929.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/zaragoza-holidays/cia-27537482,,0,/hotels/search?entity_id=27537482&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
10,SANT,False,Santander,Spain,https://content.skyscnr.com/364a15bf843b1cbaff238b40d2ba0626/GettyImages-473550916.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/santander-holidays/cia-27546294,,91,/hotels/search?entity_id=27546294&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T21:50:00,,
11,MALA,True,Málaga,Spain,https://content.skyscnr.com/885adc49a58167bc2bfc0ec3176095d1/GettyImages-178637651.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/malaga-holidays/cia-27547484,44.0,37,/hotels/search?entity_id=27547484&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T21:39:00,2021-11-13T03:05:00,
12,VITO,False,Vitoria-Gasteiz,Spain,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/vitoria-gasteiz-holidays/cia-27547400,,117,/hotels/search?entity_id=27547400&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T10:42:00,,
13,VALE,True,Valencia,Spain,https://content.skyscnr.com/m/2151532d1a93105c/original/Guide-Page-Image-Valencia.JPG,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/valencia-holidays/cia-27547405,34.0,35,/hotels/search?entity_id=27547405&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T18:37:00,2021-11-13T06:21:00,94.0
14,IBIZ,False,Ibiza,Spain,https://content.skyscnr.com/d5a71bb9ad10ed943ce61251761be64a/GettyImages-177133241.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/ibiza-holidays/cia-27542788,,0,/hotels/search?entity_id=27542788&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
15,ARRE,True,Lanzarote,Spain,https://content.skyscnr.com/8f05010aa03fd05aa210ab04d5edc14d/GettyImages-453466115.jpg,,35.0,24,/hotels/search?entity_id=81972637&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T19:53:00,2021-11-13T06:10:00,
16,MADR,False,Madrid,Spain,https://content.skyscnr.com/13ce98b674f110e5466fea801ffb05bd/madrid.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/madrid-holidays/cia-27544850,,42,/hotels/search?entity_id=27544850&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T00:20:00,,90.0
17,TENE,True,Tenerife,Spain,https://content.skyscnr.com/m/5954933ffe79635b/original/eyeem-28451928-143557105.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/tenerife-holidays/cia-27547165,170.0,49,/hotels/search?entity_id=27547165&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T09:11:00,2021-11-09T20:28:00,72.0
18,BILB,False,Bilbao,Spain,https://content.skyscnr.com/060f28eebcfc6402d8ab9c887c295ff6/GettyImages-176437830.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/bilbao-holidays/cia-27538794,,117,/hotels/search?entity_id=27538794&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T20:54:00,,
19,VIGO,False,Vigo,Spain,https://content.skyscnr.com/cc22b75af4f3a35b548d65b1e0be5f35/GettyImages-529405851.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/vigo-holidays/cia-27547389,,153,/hotels/search?entity_id=27547389&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T21:24:00,,
20,GRAO,False,Granada,Spain,https://content.skyscnr.com/6c6fe125df67140eb31858be6f226105/GettyImages-177531241.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/granada-holidays/cia-27541926,,155,/hotels/search?entity_id=27541926&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T07:56:00,,
21,LAGO,False,La Gomera Tenerife,Spain,https://content.skyscnr.com/68713669f8970547150fabf7164dc2c5/GettyImages-471725773.jpg,,,187,/hotels/search?entity_id=81972634&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T17:32:00,,
22,LACO,False,A Coruña,Spain,https://content.skyscnr.com/fe16c965011af54da8155be3b5d27e69/GettyImages-152032624.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/a-coruna-holidays/cia-27543999,,325,/hotels/search?entity_id=27543999&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T09:12:00,,
