,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,DirectPrice,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectQuoteDateTime,HotelPrice
0,STUT,True,Stuttgart,Germany,https://content.skyscnr.com/m/0c5081fc40bb725f/Large-GettyImages-489946082.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/stuttgart-holidays/cia-27546291,120.0,149.0,/hotels/search?entity_id=27546291&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T18:10:00,2021-11-13T06:23:00,
1,DUSS,True,Dusseldorf,Germany,https://content.skyscnr.com/79e529e0b33906841f37364d885a83ee/dusseldorf-germany.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/dusseldorf-holidays/cia-27540831,20.0,26.0,/hotels/search?entity_id=27540831&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T14:48:00,2021-11-10T08:30:00,
2,BERL,False,Berlin,Germany,https://content.skyscnr.com/588e330bc635d38f64eb8fe3f61d2e47/stock-photo-golden-hour-skyline-berlin-113819803.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/berlin-holidays/cia-27547053,,43.0,/hotels/search?entity_id=27547053&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T11:46:00,,
3,DRES,False,Dresden,Germany,https://content.skyscnr.com/4751594d9fa6770d37276278bf52bb31/GettyImages-168715076.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/dresden-holidays/cia-27540800,,243.0,/hotels/search?entity_id=27540800&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T07:40:00,,
4,FRAN,True,Frankfurt,Germany,https://content.skyscnr.com/e286ff180a40d9376f18c9c2b314565f/GettyImages-510973985.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/frankfurt-holidays/cia-27541706,11.0,25.0,/hotels/search?entity_id=27541706&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T08:24:00,2021-11-11T08:24:00,
5,MUNS,False,Munster,Germany,https://content.skyscnr.com/8119bea3daa637d06823ba14be07daf0/GettyImages-474481119.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/munster-holidays/cia-34241838,,0.0,/hotels/search?entity_id=34241838&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
6,HANN,False,Hannover,Germany,https://content.skyscnr.com/92150ce4e02118a5f932eb4ccda784f0/gettyimages635782822.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/hannover-holidays/cia-27541989,,0.0,/hotels/search?entity_id=27541989&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
7,BADE,True,Baden-Baden,Germany,https://content.skyscnr.com/063edf3feb4d83c47815645f11e5c9ea/GettyImages-480156090.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/baden-baden-holidays/cia-34235660,21.0,,/hotels/search?entity_id=34235660&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-11T19:45:00,101.0
8,MEMB,True,Memmingen,Germany,https://content.skyscnr.com/bd9a58c269dbd515bf617e222aa02e59/memmingen.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/memmingen-holidays/cia-27541680,19.0,28.0,/hotels/search?entity_id=27541680&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T20:18:00,2021-11-12T22:32:00,
9,NURE,False,Nuremberg,Germany,https://content.skyscnr.com/e48251a9a6bc5fb19b4d612976766e72/GettyImages-99203898.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/nuremberg-holidays/cia-27545162,,0.0,/hotels/search?entity_id=27545162&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
10,FRIE,False,Friedrichshafen,Germany,https://content.skyscnr.com/a15e8d9f792a90f90623b0bc4de66cdb/friedrichschafen.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/friedrichshafen-holidays/cia-27541004,,201.0,/hotels/search?entity_id=27541004&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T22:32:00,,
11,MUNI,True,Munich,Germany,https://content.skyscnr.com/de0da70e0c97e398d73cc371eb8b6cc3/GettyImages-481909461.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/munich-holidays/cia-27545034,151.0,144.0,/hotels/search?entity_id=27545034&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T01:46:00,2021-11-11T22:07:00,
12,DORT,True,Dortmund,Germany,https://content.skyscnr.com/3d1d174379607e5a48834b1a1cb70a72/GettyImages-531100581.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/dortmund-holidays/cia-27540819,22.0,158.0,/hotels/search?entity_id=27540819&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T11:36:00,2021-11-09T11:36:00,
13,COLO,True,Cologne,Germany,https://content.skyscnr.com/6a75b2e121f555167dba8bf647cd4e93/cologne.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/cologne-holidays/cia-34235350,128.0,52.0,/hotels/search?entity_id=34235350&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T14:47:00,2021-11-12T17:38:00,
14,HAMB,False,Hamburg,Germany,https://content.skyscnr.com/8bfb9acbb92ca01dfa277260d6e7e153/stock-photo-speicherstadt-at-night-78880815.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/hamburg-holidays/cia-27536295,,89.0,/hotels/search?entity_id=27536295&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T19:54:00,,
15,LEIP,False,Leipzig,Germany,https://content.skyscnr.com/b19563e3d4416f6612a946f5b4567cd8/GettyImages-187019183.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/leipzig-holidays/cia-27544025,,626.0,/hotels/search?entity_id=27544025&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T20:10:00,,
16,BREM,False,Bremen,Germany,https://content.skyscnr.com/f9a58a45f2e902c2abd0171fff740ad7/GettyImages-461298839.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/bremen-holidays/cia-27539555,,56.0,/hotels/search?entity_id=27539555&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T09:47:00,,
