,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,DirectPrice,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectQuoteDateTime,HotelPrice
0,NAPL,True,Naples,Italy,https://content.skyscnr.com/m/0f141bf76cf06068/Large-napl_139999980_doc.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/naples-holidays/cia-27545086,28.0,27.0,/hotels/search?entity_id=27545086&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T12:33:00,2021-11-13T14:44:00,
1,GENO,False,Genoa,Italy,https://content.skyscnr.com/8d62591d406da8a128d274d05e042ed2/GettyImages-520961993.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/genoa-holidays/cia-27541884,,52.0,/hotels/search?entity_id=27541884&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T11:45:00,,
2,BARI,True,Bari,Italy,https://content.skyscnr.com/m/3930ff32e7360c83/Large-eyeem-26694340-130154301.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/bari-holidays/cia-27539556,26.0,27.0,/hotels/search?entity_id=27539556&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T20:26:00,2021-11-13T10:51:00,
3,CATA,True,Catania,Italy,https://content.skyscnr.com/551ee1c8b7ed734978a498dc05f85d83/GettyImages-467692542.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/catania-holidays/cia-27540562,16.0,23.0,/hotels/search?entity_id=27540562&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T15:49:00,2021-11-09T19:30:00,66.0
4,MARA,False,Lamezia Terme,Italy,https://content.skyscnr.com/m/fae19a45fbb9458/original/eyeem-26694340-135367311.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/lamezia-terme-holidays/cia-27546311,,121.0,/hotels/search?entity_id=27546311&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T08:49:00,,
5,MILA,False,Milan,Italy,https://content.skyscnr.com/0f320987e189f43d5256fd38df04a977/GettyImages-461823317.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/milan-holidays/cia-27544068,,0.0,/hotels/search?entity_id=27544068&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,93.0
6,PALE,True,Palermo,Italy,https://content.skyscnr.com/b5b377433a4dd4788bd9a767d90d1555/GettyImages-471536974.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/palermo-holidays/cia-27545989,27.0,27.0,/hotels/search?entity_id=27545989&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T15:39:00,2021-11-11T17:18:00,
7,CAGL,True,Cagliari,Italy,https://content.skyscnr.com/m/1c520904cb530a78/original/eyeem-26694340-131957363.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/cagliari-holidays/cia-27539679,21.0,,/hotels/search?entity_id=27539679&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-11T12:58:00,
8,ROME,True,Rome,Italy,https://content.skyscnr.com/562fb1d3b394e92393671562fe241138/stock-photo-st-peter-s-basilica-83184691.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/rome-holidays/cia-27539793,94.0,33.0,/hotels/search?entity_id=27539793&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T13:13:00,2021-11-12T13:29:00,
9,BRIN,False,Brindisi,Italy,https://content.skyscnr.com/f7f059e28e04b44737f527b459f8d638/GettyImages-490477064.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/brindisi-holidays/cia-27538714,,98.0,/hotels/search?entity_id=27538714&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T01:05:00,,
10,TURI,False,Turin,Italy,https://content.skyscnr.com/8b7a06603efcb6bdde92edd3751784ec/GettyImages-480512869.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/turin-holidays/cia-27547248,,52.0,/hotels/search?entity_id=27547248&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T10:28:00,,
11,REGG,False,Reggio Calabria,Italy,https://content.skyscnr.com/c842a0646150babd46c1371e012c2827/GettyImages-489955648.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/reggio-calabria-holidays/cia-27546148,,0.0,/hotels/search?entity_id=27546148&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
12,VENI,False,Venice,Italy,https://content.skyscnr.com/2a72a6087b8bee22ab2c798e61bee6fe/venice.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/venice-holidays/cia-27547373,,29.0,/hotels/search?entity_id=27547373&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T16:22:00,,79.0
