,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectPrice,DirectQuoteDateTime,HotelPrice
0,HAMB,False,Hamburg,Germany,https://content.skyscnr.com/8bfb9acbb92ca01dfa277260d6e7e153/stock-photo-speicherstadt-at-night-78880815.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/hamburg-holidays/cia-27536295,37,/hotels/search?entity_id=27536295&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T12:21:00,,,
1,COLO,True,Cologne,Germany,https://content.skyscnr.com/6a75b2e121f555167dba8bf647cd4e93/cologne.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/cologne-holidays/cia-34235350,27,/hotels/search?entity_id=34235350&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T08:31:00,28.0,2021-11-13T08:31:00,
2,BERL,True,Berlin,Germany,https://content.skyscnr.com/588e330bc635d38f64eb8fe3f61d2e47/stock-photo-golden-hour-skyline-berlin-113819803.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/berlin-holidays/cia-27547053,33,/hotels/search?entity_id=27547053&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T13:26:00,26.0,2021-11-11T15:17:00,
3,DRES,False,Dresden,Germany,https://content.skyscnr.com/4751594d9fa6770d37276278bf52bb31/GettyImages-168715076.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/dresden-holidays/cia-27540800,76,/hotels/search?entity_id=27540800&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T12:16:00,,,
4,FRAN,True,Frankfurt,Germany,https://content.skyscnr.com/e286ff180a40d9376f18c9c2b314565f/GettyImages-510973985.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/frankfurt-holidays/cia-27541706,23,/hotels/search?entity_id=27541706&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T12:12:00,21.0,2021-11-13T10:57:00,65.0
5,BREM,False,Bremen,Germany,https://content.skyscnr.com/f9a58a45f2e902c2abd0171fff740ad7/GettyImages-461298839.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/bremen-holidays/cia-27539555,26,/hotels/search?entity_id=27539555&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T21:33:00,,,
6,MEMB,False,Memmingen,Germany,https://content.skyscnr.com/bd9a58c269dbd515bf617e222aa02e59/memmingen.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/memmingen-holidays/cia-27541680,43,/hotels/search?entity_id=27541680&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T12:27:00,,,
7,DORT,False,Dortmund,Germany,https://content.skyscnr.com/3d1d174379607e5a48834b1a1cb70a72/GettyImages-531100581.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/dortmund-holidays/cia-27540819,77,/hotels/search?entity_id=27540819&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T21:50:00,,,80.0
8,NURE,False,Nuremberg,Germany,https://content.skyscnr.com/e48251a9a6bc5fb19b4d612976766e72/GettyImages-99203898.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/nuremberg-holidays/cia-27545162,86,/hotels/search?entity_id=27545162&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T11:38:00,,,
9,DUSS,False,Dusseldorf,Germany,https://content.skyscnr.com/79e529e0b33906841f37364d885a83ee/dusseldorf-germany.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/germany/dusseldorf-holidays/cia-27540831,91,/hotels/search?entity_id=27540831&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T13:16:00,,,
