,Id,Direct,Name,CountryName,HolidayUrl,IndirectPrice,HotelUrl,IndirectQuoteDateTime,ImageUrl,DirectPrice,HotelPrice,DirectQuoteDateTime
0,VITO,False,Vitoria-Gasteiz,Spain,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/vitoria-gasteiz-holidays/cia-27547400,0,/hotels/search?entity_id=27547400&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,,
1,RMUA,False,Corvera,Spain,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/corvera-holidays/cia-30020729,187,/hotels/search?entity_id=30020729&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T13:56:00,,,,
2,IBIZ,False,Ibiza,Spain,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/ibiza-holidays/cia-27542788,75,/hotels/search?entity_id=27542788&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T19:27:00,https://content.skyscnr.com/d5a71bb9ad10ed943ce61251761be64a/GettyImages-177133241.jpg,,,
3,TENE,True,Tenerife,Spain,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/tenerife-holidays/cia-27547165,0,/hotels/search?entity_id=27547165&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,https://content.skyscnr.com/m/5954933ffe79635b/original/eyeem-28451928-143557105.jpg,151.0,63.0,2021-11-13T14:47:00
4,GRAN,True,Gran Canaria,Spain,,43,/hotels/search?entity_id=81972632&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T19:35:00,https://content.skyscnr.com/m/52c63dea83a8987c/original/24_19-1.jpg,64.0,,2021-11-12T17:47:00
5,SANT,False,Santander,Spain,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/santander-holidays/cia-27546294,37,/hotels/search?entity_id=27546294&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T13:49:00,https://content.skyscnr.com/364a15bf843b1cbaff238b40d2ba0626/GettyImages-473550916.jpg,,,
6,ZARA,False,Zaragoza,Spain,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/zaragoza-holidays/cia-27537482,42,/hotels/search?entity_id=27537482&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T16:03:00,https://content.skyscnr.com/06189bcba4b14787566375887dbd7291/GettyImages-463461929.jpg,,,
7,ALIC,True,Alicante,Spain,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/alicante-holidays/cia-27536538,24,/hotels/search?entity_id=27536538&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T14:03:00,https://content.skyscnr.com/2df165e46db19d6bcbb86e556a49a1bf/alicante.jpg,23.0,,2021-11-12T19:21:00
8,MADR,False,Madrid,Spain,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/madrid-holidays/cia-27544850,38,/hotels/search?entity_id=27544850&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T12:56:00,https://content.skyscnr.com/13ce98b674f110e5466fea801ffb05bd/madrid.jpg,,,
9,PALM,True,Palma,Spain,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/palma-holidays/cia-27545988,27,/hotels/search?entity_id=27545988&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T13:13:00,https://content.skyscnr.com/c643eed202678c7de51c5ed5856998e4/GettyImages-497942480.jpg,26.0,124.0,2021-11-10T08:29:00
10,VALE,True,Valencia,Spain,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/valencia-holidays/cia-27547405,35,/hotels/search?entity_id=27547405&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T17:26:00,https://content.skyscnr.com/m/2151532d1a93105c/original/Guide-Page-Image-Valencia.JPG,33.0,,2021-11-13T16:26:00
11,MENO,False,Menorca,Spain,,0,/hotels/search?entity_id=81972646&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,https://content.skyscnr.com/cc3d610f7586a1f3da7df041da3e0f31/menorca.jpg,,,
12,ARRE,True,Lanzarote,Spain,,27,/hotels/search?entity_id=81972637&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T14:19:00,https://content.skyscnr.com/8f05010aa03fd05aa210ab04d5edc14d/GettyImages-453466115.jpg,39.0,,2021-11-13T04:23:00
13,FUER,False,Fuerteventura,Spain,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/fuerteventura-holidays/cia-27541737,34,/hotels/search?entity_id=27541737&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T07:20:00,https://content.skyscnr.com/b4ef80670c581d86543850f97fb2df9f/GettyImages-460870155.jpg,,,
