,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectPrice,DirectQuoteDateTime
0,BEXI,False,Beziers,France,https://content.skyscnr.com/4ed8fa8147ebba107bc6f63e6b9ce7d8/GettyImages-467279753.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/beziers-holidays/cia-27539672,0,/hotels/search?entity_id=27539672&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
1,LOUR,False,Lourdes,France,https://content.skyscnr.com/c49d48ddea20005a810a7f857e32ece4/GettyImages-152055513.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/lourdes-holidays/cia-32026029,37,/hotels/search?entity_id=32026029&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T20:43:00,,
2,NANT,False,Nantes,France,https://content.skyscnr.com/a6a06dfb626e88cb883e75e6adef6a82/GettyImages-468108414.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/nantes-holidays/cia-27545159,33,/hotels/search?entity_id=27545159&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T20:42:00,,
3,CARC,False,Carcassonne,France,https://content.skyscnr.com/e19d1566fa79a4b8b60b501a49847f02/GettyImages-463085089.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/carcassonne-holidays/cia-27539716,0,/hotels/search?entity_id=27539716&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
4,LIMO,False,Limoges,France,https://content.skyscnr.com/ac1dfc840d3a88201e2e1dd0684721a6/GettyImages-148479078.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/limoges-holidays/cia-27544063,0,/hotels/search?entity_id=27544063&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
5,PARI,True,Paris,France,https://content.skyscnr.com/m/37e282443afc0ff7/original/Paris-2016-10.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/paris-holidays/cia-27539733,28,/hotels/search?entity_id=27539733&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T16:47:00,20.0,2021-11-13T06:43:00
6,TOUR,False,Tours,France,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/tours-holidays/cia-27547276,0,/hotels/search?entity_id=27547276&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
7,TOUS,False,Toulouse,France,https://content.skyscnr.com/65dafcf41a15bb8cc11a79001a6ff08c/eyeem-26694340-103869478.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/toulouse-holidays/cia-27547205,25,/hotels/search?entity_id=27547205&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T17:11:00,,
8,BIAR,False,Biarritz,France,https://content.skyscnr.com/18bc8130729cdcd7a1d0aeab79b4c66b/GettyImages-465967373.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/biarritz-holidays/cia-27538795,115,/hotels/search?entity_id=27538795&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T16:04:00,,
9,MARS,False,Marseille,France,https://content.skyscnr.com/m/55550e4064300ca1/Large-eyeem-26694340-128693747.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/france/marseille-holidays/cia-32030366,36,/hotels/search?entity_id=32030366&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T18:57:00,,
