,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectPrice,HotelPrice,DirectQuoteDateTime
0,ALIC,False,Alicante,Spain,https://content.skyscnr.com/2df165e46db19d6bcbb86e556a49a1bf/alicante.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/alicante-holidays/cia-27536538,112,/hotels/search?entity_id=27536538&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T08:12:00,,,
1,MADR,False,Madrid,Spain,https://content.skyscnr.com/13ce98b674f110e5466fea801ffb05bd/madrid.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/madrid-holidays/cia-27544850,50,/hotels/search?entity_id=27544850&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T21:31:00,,,
2,FUER,False,Fuerteventura,Spain,https://content.skyscnr.com/b4ef80670c581d86543850f97fb2df9f/GettyImages-460870155.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/fuerteventura-holidays/cia-27541737,52,/hotels/search?entity_id=27541737&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T23:24:00,,,
3,MALA,True,Málaga,Spain,https://content.skyscnr.com/885adc49a58167bc2bfc0ec3176095d1/GettyImages-178637651.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/malaga-holidays/cia-27547484,25,/hotels/search?entity_id=27547484&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T15:06:00,15.0,119.0,2021-11-13T14:06:00
4,SANT,False,Santander,Spain,https://content.skyscnr.com/364a15bf843b1cbaff238b40d2ba0626/GettyImages-473550916.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/santander-holidays/cia-27546294,0,/hotels/search?entity_id=27546294&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
5,PALM,False,Palma,Spain,https://content.skyscnr.com/c643eed202678c7de51c5ed5856998e4/GettyImages-497942480.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/palma-holidays/cia-27545988,34,/hotels/search?entity_id=27545988&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T12:50:00,,124.0,
6,VALE,False,Valencia,Spain,https://content.skyscnr.com/m/2151532d1a93105c/original/Guide-Page-Image-Valencia.JPG,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/valencia-holidays/cia-27547405,62,/hotels/search?entity_id=27547405&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T03:04:00,,,
7,GRAN,False,Gran Canaria,Spain,https://content.skyscnr.com/m/52c63dea83a8987c/original/24_19-1.jpg,,65,/hotels/search?entity_id=81972632&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T15:48:00,,,
8,ARRE,False,Lanzarote,Spain,https://content.skyscnr.com/8f05010aa03fd05aa210ab04d5edc14d/GettyImages-453466115.jpg,,66,/hotels/search?entity_id=81972637&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T23:25:00,,,
9,TENE,False,Tenerife,Spain,https://content.skyscnr.com/m/5954933ffe79635b/original/eyeem-28451928-143557105.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/tenerife-holidays/cia-27547165,48,/hotels/search?entity_id=27547165&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T12:46:00,,63.0,
10,IBIZ,False,Ibiza,Spain,https://content.skyscnr.com/d5a71bb9ad10ed943ce61251761be64a/GettyImages-177133241.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/ibiza-holidays/cia-27542788,120,/hotels/search?entity_id=27542788&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T06:23:00,,,
11,ZARA,False,Zaragoza,Spain,https://content.skyscnr.com/06189bcba4b14787566375887dbd7291/GettyImages-463461929.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/zaragoza-holidays/cia-27537482,0,/hotels/search?entity_id=27537482&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
12,BARC,False,Barcelona,Spain,https://content.skyscnr.com/7adba3a46af3ca29695f96937d19fcf1/GettyImages-149127892.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/barcelona-holidays/cia-27548283,48,/hotels/search?entity_id=27548283&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T13:56:00,,,
13,RMUA,False,Corvera,Spain,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/corvera-holidays/cia-30020729,249,/hotels/search?entity_id=30020729&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T08:05:00,,,
14,SEVI,False,Seville,Spain,https://content.skyscnr.com/7b3a368cac5b45d17fc01b6122cc68b0/GettyImages-536922069.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/seville-holidays/cia-27547022,50,/hotels/search?entity_id=27547022&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T02:55:00,,94.0,
15,SANC,False,Santiago de Compostela,Spain,https://content.skyscnr.com/e19aa81083a29803e0f619554eead53b/eyeem-26693940-124275584.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/santiago-de-compostela-holidays/cia-27546279,0,/hotels/search?entity_id=27546279&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
16,BILB,False,Bilbao,Spain,https://content.skyscnr.com/060f28eebcfc6402d8ab9c887c295ff6/GettyImages-176437830.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/bilbao-holidays/cia-27538794,101,/hotels/search?entity_id=27538794&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T19:00:00,,,
17,LAPA,False,La Palma,Spain,https://content.skyscnr.com/877f70af45ec23543d4c3ac0cbb77f8e/GettyImages-502911694.jpg,,0,/hotels/search?entity_id=81972633&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
18,JERE,False,Jerez,Spain,https://content.skyscnr.com/4494ca93db98fff4b44987674f27433d/GettyImages-545879142.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/jerez-holidays/cia-27536324,120,/hotels/search?entity_id=27536324&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T02:51:00,,,
19,LACO,False,A Coruña,Spain,https://content.skyscnr.com/fe16c965011af54da8155be3b5d27e69/GettyImages-152032624.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/a-coruna-holidays/cia-27543999,148,/hotels/search?entity_id=27543999&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T07:13:00,,,
20,GRAO,False,Granada,Spain,https://content.skyscnr.com/6c6fe125df67140eb31858be6f226105/GettyImages-177531241.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/granada-holidays/cia-27541926,178,/hotels/search?entity_id=27541926&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T20:49:00,,,
21,ALME,False,Almeria,Spain,https://content.skyscnr.com/c66dd79842140393f3a2015eb43f379b/GettyImages-95348895.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/almeria-holidays/cia-27544024,283,/hotels/search?entity_id=27544024&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T11:23:00,,,
22,GERO,False,Girona,Spain,https://content.skyscnr.com/2f2e265082e346c1a4f03d113955a9ec/GettyImages-516250775.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/girona-holidays/cia-27541920,335,/hotels/search?entity_id=27541920&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T16:23:00,,,
23,RGSA,False,Burgos,Spain,https://content.skyscnr.com/4584e7870d5b151c2a5476797c58e654/GettyImages-531904283.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/burgos-holidays/cia-27546160,361,/hotels/search?entity_id=27546160&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T16:57:00,,,
