,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,HotelPrice,IndirectQuoteDateTime,DirectPrice,DirectQuoteDateTime
0,VENI,False,Venice,Italy,https://content.skyscnr.com/2a72a6087b8bee22ab2c798e61bee6fe/venice.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/venice-holidays/cia-27547373,26.0,/hotels/search?entity_id=27547373&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,79.0,2021-11-12T05:20:00,,
1,MARA,False,Lamezia Terme,Italy,https://content.skyscnr.com/m/fae19a45fbb9458/original/eyeem-26694340-135367311.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/lamezia-terme-holidays/cia-27546311,66.0,/hotels/search?entity_id=27546311&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-12T01:05:00,,
2,FLOR,False,Florence,Italy,https://content.skyscnr.com/398b1bf0c98990f64bdedfb03cb9c6ae/florence.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/florence-holidays/cia-27541640,0.0,/hotels/search?entity_id=27541640&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
3,ROME,True,Rome,Italy,https://content.skyscnr.com/562fb1d3b394e92393671562fe241138/stock-photo-st-peter-s-basilica-83184691.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/rome-holidays/cia-27539793,,/hotels/search?entity_id=27539793&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,39.0,2021-11-13T12:05:00
4,BRIN,False,Brindisi,Italy,https://content.skyscnr.com/f7f059e28e04b44737f527b459f8d638/GettyImages-490477064.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/brindisi-holidays/cia-27538714,106.0,/hotels/search?entity_id=27538714&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T11:43:00,,
5,CATA,False,Catania,Italy,https://content.skyscnr.com/551ee1c8b7ed734978a498dc05f85d83/GettyImages-467692542.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/catania-holidays/cia-27540562,155.0,/hotels/search?entity_id=27540562&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,66.0,2021-11-10T20:57:00,,
6,PESC,False,Pescara,Italy,https://content.skyscnr.com/569befea317cf3979e8b5916fbc7e5cd/GettyImages-529368487.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/pescara-holidays/cia-27546050,0.0,/hotels/search?entity_id=27546050&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
7,NAPL,True,Naples,Italy,https://content.skyscnr.com/m/0f141bf76cf06068/Large-napl_139999980_doc.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/naples-holidays/cia-27545086,28.0,/hotels/search?entity_id=27545086&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-11T20:42:00,28.0,2021-11-13T15:52:00
8,ALGS,False,Alghero Sardinia,Italy,https://content.skyscnr.com/0ebceb814d5354db3f9983515e72422e/Alghero%20Sardinia-GettyImages-638337502.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/alghero-sardinia-holidays/cia-27536503,49.0,/hotels/search?entity_id=27536503&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,65.0,2021-11-12T01:05:00,,
9,PALE,False,Palermo,Italy,https://content.skyscnr.com/b5b377433a4dd4788bd9a767d90d1555/GettyImages-471536974.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/palermo-holidays/cia-27545989,32.0,/hotels/search?entity_id=27545989&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-13T12:48:00,,
10,TRAP,False,Trapani,Italy,https://content.skyscnr.com/bc9d50a8707c2a3faf1c430c4973cfe0/eyeem-26693940-126565453.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/trapani-holidays/cia-27547239,0.0,/hotels/search?entity_id=27547239&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
11,CAGL,False,Cagliari,Italy,https://content.skyscnr.com/m/1c520904cb530a78/original/eyeem-26694340-131957363.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/cagliari-holidays/cia-27539679,148.0,/hotels/search?entity_id=27539679&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-09T16:55:00,,
12,ANCO,False,Ancona,Italy,https://content.skyscnr.com/b4be7d74908065e81a5c572c285b9aa1/GettyImages-481573120.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/ancona-holidays/cia-27536583,150.0,/hotels/search?entity_id=27536583&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T18:41:00,,
13,PISA,False,Pisa,Italy,https://content.skyscnr.com/14469415402f6651d1f8f1b3b8b483b0/GettyImages-498016949.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/pisa-holidays/cia-27546040,70.0,/hotels/search?entity_id=27546040&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-11T08:40:00,,
14,BOLO,False,Bologna,Italy,https://content.skyscnr.com/e0ed7f0c0c4807256fbfb586c7553b41/bologna.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/bologna-holidays/cia-27539470,44.0,/hotels/search?entity_id=27539470&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-13T15:39:00,,
15,VERO,False,Verona,Italy,https://content.skyscnr.com/m/3da3e30063a26934/Large-GettyImages-452657391_doc.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/verona-holidays/cia-27547432,117.0,/hotels/search?entity_id=27547432&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-11T13:06:00,,
16,GENO,False,Genoa,Italy,https://content.skyscnr.com/8d62591d406da8a128d274d05e042ed2/GettyImages-520961993.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/genoa-holidays/cia-27541884,133.0,/hotels/search?entity_id=27541884&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T08:08:00,,
17,BARI,False,Bari,Italy,https://content.skyscnr.com/m/3930ff32e7360c83/Large-eyeem-26694340-130154301.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/bari-holidays/cia-27539556,26.0,/hotels/search?entity_id=27539556&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-13T14:56:00,,
18,TURI,False,Turin,Italy,https://content.skyscnr.com/8b7a06603efcb6bdde92edd3751784ec/GettyImages-480512869.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/turin-holidays/cia-27547248,39.0,/hotels/search?entity_id=27547248&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-13T15:16:00,,
19,CUNE,False,Cuneo,Italy,https://content.skyscnr.com/288b947c3afa90f28dda77ea3f9cc413/GettyImages-465959900.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/cuneo-holidays/cia-27540580,0.0,/hotels/search?entity_id=27540580&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
20,MILA,True,Milan,Italy,https://content.skyscnr.com/0f320987e189f43d5256fd38df04a977/GettyImages-461823317.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/milan-holidays/cia-27544068,23.0,/hotels/search?entity_id=27544068&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,93.0,2021-11-10T22:53:00,19.0,2021-11-13T04:07:00
21,TRIE,False,Trieste,Italy,https://content.skyscnr.com/153de701476d5bc8cd228c85955e4a8d/GettyImages-484950503.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/trieste-holidays/cia-27547250,184.0,/hotels/search?entity_id=27547250&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,83.0,2021-11-11T10:17:00,,
22,LAMP,False,Lampedusa,Italy,https://content.skyscnr.com/0776a3acc229c616aeee7c00bb507012/GettyImages-153651373.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/lampedusa-holidays/cia-30949116,253.0,/hotels/search?entity_id=30949116&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-12T01:05:00,,
